official_name,osm_street_name,match_key,zone_numbers,tariff_zone,price_label,time_rules,stall_count,source,source_confidence
CORSO DELLE PROVINCE,Corso delle Province,corsodelleprovince,17;18;19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,140,amts_piano_generale_sosta,0.82
CORSO ITALIA,Corso Italia,corsoitalia,18;19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,208,amts_piano_generale_sosta,0.82
CORSO M. DELLA LIBERTA',Corso Martiri della Libertà,corsomartiridellalibert,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,10,amts_piano_generale_sosta,0.82
CORSO SICILIA,Corso Sicilia,corsosicilia,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,12,amts_piano_generale_sosta,0.82
LARGO DEI VESPRI,Largo dei Vespri,largodeivespri,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,6,amts_piano_generale_sosta,0.82
PIAZZA DELLE GUARDIE,Piazza delle Guardie,piazzadelleguardie,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,3,amts_piano_generale_sosta,0.82
PIAZZA FEDERICO DI SVEVIA,Piazza Federico di Svevia,piazzafedericodisvevia,1,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,19,amts_piano_generale_sosta,0.82
PIAZZA GALATEA,piazza Galatea,piazzagalatea,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,4,amts_piano_generale_sosta,0.82
PIAZZA BOVIO,Piazza Giovanni Bovio,piazzagiovannibovio,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,33,amts_piano_generale_sosta,0.82
PIAZZA G. VERGA,Piazza Giovanni Verga,piazzagiovanniverga,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,122,amts_piano_generale_sosta,0.82
PIAZZA GRENOBLE,Piazza Grenoble,piazzagrenoble,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,71,amts_piano_generale_sosta,0.82
PIAZZA IOLANDA,Piazza Principessa Iolanda,piazzaprincipessaiolanda,18;20,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,29,amts_piano_generale_sosta,0.82
VIA ALBERTO MARIO,Via Alberto Mario,viaalbertomario,18;19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,29,amts_piano_generale_sosta,0.82
VIA MANZONI,Via Alessandro Manzoni,viaalessandromanzoni,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,18,amts_piano_generale_sosta,0.82
VIA ALOI,Via Aloi,viaaloi,9;18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,30,amts_piano_generale_sosta,0.82
VIA AMMIRAGLIO CARACCIOLO,Via Ammiraglio Caracciolo,viaammiragliocaracciolo,13,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,11,amts_piano_generale_sosta,0.82
VIA AMORE,Via Amore,viaamore,15,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,4,amts_piano_generale_sosta,0.82
